# Matter power spectrum P(k) at redshift z=0
# for k=2.08005e-07 to 100.006 h/Mpc,
# number of wavenumbers equal to 1835
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.865529116065e-05       1.320452489528e+02 
       2.894360693551e-05       1.333274438954e+02 
       2.923482360520e-05       1.346220881687e+02 
       2.952897035713e-05       1.359293026498e+02 
       2.982607667239e-05       1.372492093082e+02 
       3.012617232867e-05       1.385819311960e+02 
       3.042928740329e-05       1.399275930820e+02 
       3.073545227619e-05       1.412863200572e+02 
       3.104469763297e-05       1.426582392573e+02 
       3.135705446798e-05       1.440434786431e+02 
       3.167255408742e-05       1.454421675398e+02 
       3.199122811248e-05       1.468544366154e+02 
       3.231310848251e-05       1.482804174610e+02 
       3.263822745819e-05       1.497202431487e+02 
       3.296661762484e-05       1.511740479710e+02 
       3.329831189560e-05       1.526419679693e+02 
       3.363334351478e-05       1.541241399140e+02 
       3.397174606118e-05       1.556207020629e+02 
       3.431355345145e-05       1.571317942067e+02 
       3.465879994348e-05       1.586575572978e+02 
       3.500752013988e-05       1.601981337521e+02 
       3.535974899138e-05       1.617536671731e+02 
       3.571552180039e-05       1.633243030123e+02 
       3.607487422451e-05       1.649101875004e+02 
       3.643784228010e-05       1.665114688686e+02 
       3.680446234591e-05       1.681282965114e+02 
       3.717477116671e-05       1.697608212534e+02 
       3.754880585699e-05       1.714091951042e+02 
       3.792660390465e-05       1.730735724606e+02 
       3.830820317479e-05       1.747541081676e+02 
       3.869364191348e-05       1.764509592321e+02 
       3.908295875161e-05       1.781642838897e+02 
       3.947619270875e-05       1.798942417470e+02 
       3.987338319708e-05       1.816409946425e+02 
       4.027457002531e-05       1.834047055182e+02 
       4.067979340269e-05       1.851855384962e+02 
       4.108909394304e-05       1.869836600468e+02 
       4.150251266882e-05       1.887992378261e+02 
       4.192009101522e-05       1.906324413003e+02 
       4.234187083436e-05       1.924834412925e+02 
       4.276789439944e-05       1.943524106145e+02 
       4.319820440898e-05       1.962395234596e+02 
       4.363284399114e-05       1.981449559074e+02 
       4.407185670799e-05       2.000688857709e+02 
       4.451528655991e-05       2.020114925095e+02 
       4.496317799000e-05       2.039729570280e+02 
       4.541557588851e-05       2.059534627281e+02 
       4.587252559736e-05       2.079531939828e+02 
       4.633407291469e-05       2.099723374567e+02 
       4.680026409941e-05       2.120110813608e+02 
       4.727114587589e-05       2.140696157851e+02 
       4.774676543862e-05       2.161481329777e+02 
       4.822717045692e-05       2.182468263444e+02 
       4.871240907974e-05       2.203658918474e+02 
       4.920252994051e-05       2.225055270743e+02 
       4.969758216193e-05       2.246659316867e+02 
       5.019761536101e-05       2.268473066356e+02 
